model,method,hyperparameter,seed,eval_index,step,forward_passes,dev_loss
opt-125m,MpSub,10.0,1,6,150,6300,1.074642
opt-125m,MpSub,10.0,1,7,175,7350,0.858220
opt-125m,MpSub,10.0,1,8,200,8400,0.876385
opt-125m,MpSub,10.0,2,1,25,1050,0.825969
opt-125m,MpSub,10.0,2,2,50,2100,0.933741
opt-125m,MpSub,10.0,2,3,75,3150,0.833441
opt-125m,MpSub,10.0,2,4,100,4200,0.819584
opt-125m,MpSub,10.0,2,5,125,5250,0.934706
opt-125m,MpSub,10.0,2,6,150,6300,0.818673
opt-125m,MpSub,10.0,2,7,175,7350,0.828639
opt-125m,MpSub,10.0,2,8,200,8400,0.819176
opt-125m,MpSub,1e-1,0,1,25,1050,0.840098
opt-125m,MpSub,1e-1,0,2,50,2100,0.796515
opt-125m,MpSub,1e-1,0,3,75,3150,0.741755
opt-125m,MpSub,1e-1,0,4,100,4200,0.718943
opt-125m,MpSub,1e-1,0,5,125,5250,0.701376
opt-125m,MpSub,1e-1,0,6,150,6300,0.680449
opt-125m,MpSub,1e-1,0,7,175,7350,0.685133
opt-125m,MpSub,1e-1,0,8,200,8400,0.677803
opt-125m,MpSub,1e-1,1,1,25,1050,0.886769
opt-125m,MpSub,1e-1,1,2,50,2100,0.855447
opt-125m,MpSub,1e-1,1,3,75,3150,0.793171
opt-125m,MpSub,1e-1,1,4,100,4200,0.772195
opt-125m,MpSub,1e-1,1,5,125,5250,0.747467
opt-125m,MpSub,1e-1,1,6,150,6300,0.741157
opt-125m,MpSub,1e-1,1,7,175,7350,0.729435
opt-125m,MpSub,1e-1,1,8,200,8400,0.722646
opt-125m,MpSub,1e-1,2,1,25,1050,0.815547
opt-125m,MpSub,1e-1,2,2,50,2100,0.787274
opt-125m,MpSub,1e-1,2,3,75,3150,0.744201
opt-125m,MpSub,1e-1,2,4,100,4200,0.706713
opt-125m,MpSub,1e-1,2,5,125,5250,0.670337
opt-125m,MpSub,1e-1,2,6,150,6300,0.651983
opt-125m,MpSub,1e-1,2,7,175,7350,0.640148
opt-125m,MpSub,1e-1,2,8,200,8400,0.620065
opt-125m,MpSub,3.0,0,1,25,1050,1.403942
opt-125m,MpSub,3.0,0,2,50,2100,0.874762
opt-125m,MpSub,3.0,0,3,75,3150,0.977875
opt-125m,MpSub,3.0,0,4,100,4200,0.922777
opt-125m,MpSub,3.0,0,5,125,5250,0.868650
opt-125m,MpSub,3.0,0,6,150,6300,0.827969
opt-125m,MpSub,3.0,0,7,175,7350,0.850794
opt-125m,MpSub,3.0,0,8,200,8400,1.053304
opt-125m,MpSub,3.0,1,1,25,1050,0.982104
opt-125m,MpSub,3.0,1,2,50,2100,0.900512
opt-125m,MpSub,3.0,1,3,75,3150,0.966847
opt-125m,MpSub,3.0,1,4,100,4200,0.892211
opt-125m,MpSub,3.0,1,5,125,5250,0.859529
opt-125m,MpSub,3.0,1,6,150,6300,1.030162
opt-125m,MpSub,3.0,1,7,175,7350,0.884156
opt-125m,MpSub,3.0,1,8,200,8400,0.830049
opt-125m,MpSub,3.0,2,1,25,1050,1.270868
opt-125m,MpSub,3.0,2,2,50,2100,1.049178
opt-125m,MpSub,3.0,2,3,75,3150,0.835873
opt-125m,MpSub,3.0,2,4,100,4200,0.873979
opt-125m,MpSub,3.0,2,5,125,5250,0.966103
opt-125m,MpSub,3.0,2,6,150,6300,0.808584
opt-125m,MpSub,3.0,2,7,175,7350,0.808665
opt-125m,MpSub,3.0,2,8,200,8400,0.896828
opt-125m,MpSub,3e-1,0,1,25,1050,0.761791
opt-125m,MpSub,3e-1,0,2,50,2100,0.731187
opt-125m,MpSub,3e-1,0,3,75,3150,0.678605
opt-125m,MpSub,3e-1,0,4,100,4200,0.690250
opt-125m,MpSub,3e-1,0,5,125,5250,0.724173
opt-125m,MpSub,3e-1,0,6,150,6300,0.686819
opt-125m,MpSub,3e-1,0,7,175,7350,0.760496
opt-125m,MpSub,3e-1,0,8,200,8400,0.719711
opt-125m,MpSub,3e-1,1,1,25,1050,0.783198
opt-125m,MpSub,3e-1,1,2,50,2100,0.761085
opt-125m,MpSub,3e-1,1,3,75,3150,0.710872
opt-125m,MpSub,3e-1,1,4,100,4200,0.717486
opt-125m,MpSub,3e-1,1,5,125,5250,0.689005
opt-125m,MpSub,3e-1,1,6,150,6300,0.709820
opt-125m,MpSub,3e-1,1,7,175,7350,0.689966
opt-125m,MpSub,3e-1,1,8,200,8400,0.659756
opt-125m,MpSub,3e-1,2,1,25,1050,0.727112
opt-125m,MpSub,3e-1,2,2,50,2100,0.637673
opt-125m,MpSub,3e-1,2,3,75,3150,0.632206
opt-125m,MpSub,3e-1,2,4,100,4200,0.603731
opt-125m,MpSub,3e-1,2,5,125,5250,0.587192
opt-125m,MpSub,3e-1,2,6,150,6300,0.587356
opt-125m,MpSub,3e-1,2,7,175,7350,0.594753
opt-125m,MpSub,3e-1,2,8,200,8400,0.573949
opt-350m,MeZO,1e-5,0,1,300,600,1.690782
opt-350m,MeZO,1e-5,0,2,600,1200,10.929435
opt-350m,MeZO,1e-5,0,3,900,1800,3.697035
opt-350m,MeZO,1e-5,0,4,1200,2400,2.073163
opt-350m,MeZO,1e-5,0,5,1500,3000,6.552647
opt-350m,MeZO,1e-5,0,6,1800,3600,1.944630
opt-350m,MeZO,1e-5,0,7,2100,4200,1.436836
opt-350m,MeZO,1e-5,0,8,2400,4800,5.967058
opt-350m,MeZO,1e-5,0,9,2700,5400,5.983047
opt-350m,MeZO,1e-5,0,10,3000,6000,42.753101
opt-350m,MeZO,1e-5,0,11,3300,6600,15.923452
opt-350m,MeZO,1e-5,0,12,3600,7200,12.672737
opt-350m,MeZO,1e-5,0,13,3900,7800,37.560558
opt-350m,MeZO,1e-5,0,14,4200,8400,29.609535
opt-350m,MeZO,1e-5,1,1,300,600,2.661854
opt-350m,MeZO,1e-5,1,2,600,1200,1.186043
opt-350m,MeZO,1e-5,1,3,900,1800,2.434364
opt-350m,MeZO,1e-5,1,4,1200,2400,2.464975
opt-350m,MeZO,1e-5,1,5,1500,3000,1.216761
opt-350m,MeZO,1e-5,1,6,1800,3600,5.762992
opt-350m,MeZO,1e-5,1,7,2100,4200,2.717329
opt-350m,MeZO,1e-5,1,8,2400,4800,20.476524
opt-350m,MeZO,1e-5,1,9,2700,5400,6.127851
opt-350m,MeZO,1e-5,1,10,3000,6000,57.071999
opt-350m,MeZO,1e-5,1,11,3300,6600,17.413322
opt-350m,MeZO,1e-5,1,12,3600,7200,12.742842
opt-350m,MeZO,1e-5,1,13,3900,7800,6.490552
opt-350m,MeZO,1e-5,1,14,4200,8400,21.026548
opt-350m,MeZO,1e-5,2,1,300,600,0.844031
opt-350m,MeZO,1e-5,2,2,600,1200,0.817045
opt-350m,MeZO,1e-5,2,3,900,1800,1.653467
opt-350m,MeZO,1e-5,2,4,1200,2400,2.363038
opt-350m,MeZO,1e-5,2,5,1500,3000,10.340961
opt-350m,MeZO,1e-5,2,6,1800,3600,21.149317
opt-350m,MeZO,1e-5,2,7,2100,4200,12.648107
opt-350m,MeZO,1e-5,2,8,2400,4800,2.608731
opt-350m,MeZO,1e-5,2,9,2700,5400,3.368530
opt-350m,MeZO,1e-5,2,10,3000,6000,28.903070
opt-350m,MeZO,1e-5,2,11,3300,6600,22.258129
opt-350m,MeZO,1e-5,2,12,3600,7200,7.910054
opt-350m,MeZO,1e-5,2,13,3900,7800,11.586638
opt-350m,MeZO,1e-5,2,14,4200,8400,4.272644
opt-350m,MeZO,1e-6,0,1,300,600,0.802887
opt-350m,MeZO,1e-6,0,2,600,1200,0.759815
opt-350m,MeZO,1e-6,0,3,900,1800,0.725871
opt-350m,MeZO,1e-6,0,4,1200,2400,0.719421
opt-350m,MeZO,1e-6,0,5,1500,3000,0.694489
opt-350m,MeZO,1e-6,0,6,1800,3600,0.686033
